PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,AgeGroup_Teenager,AgeGroup_Young_Adult,AgeGroup_Adult,AgeGroup_Senior
80,1,3,0,0.04906228549545483,0,0,-0.397241430886295,False,True,True,False,False,False,False,True,False,False
81,0,3,1,-0.5657364610748746,0,0,-0.46720946885967163,False,True,False,True,False,False,False,True,False,False
82,1,3,1,-0.027787557825836348,0,0,-0.45714212526638004,False,True,False,True,False,False,False,True,False,False
83,1,3,0,-0.10463740114712752,0,0,-0.49162277707340374,True,False,True,False,False,False,False,True,False,False
84,0,1,1,-0.10463740114712752,0,0,0.29992211294914856,False,True,False,True,False,False,False,True,False,False
85,1,2,0,-0.9499856776813305,0,0,-0.43700743807979686,False,True,True,False,False,False,True,False,False,False
86,1,3,0,0.27961181545932834,3,0,-0.32928686163157667,False,True,False,False,True,False,False,True,False,False
87,0,3,1,-1.0268355210026217,1,3,0.04370821849987721,False,True,False,True,False,False,True,False,False,False
88,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
89,1,1,0,-0.48888661775358344,3,2,4.647001076532463,False,True,True,False,False,False,False,True,False,False
90,0,3,1,-0.41203677443229225,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
91,0,3,1,-0.027787557825836348,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
92,0,3,1,-0.719436147717457,0,0,-0.4902797934380587,False,True,False,True,False,False,False,True,False,False
93,0,1,1,1.2786597786361138,1,0,0.5833178351003071,False,True,False,True,False,False,False,False,True,False
94,0,3,1,-0.2583370877897099,1,2,-0.23415046467497105,False,True,False,True,False,False,False,True,False,False
95,0,3,1,2.277707741812899,0,0,-0.5024451714361923,False,True,False,True,False,False,False,False,True,False
96,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
97,0,1,1,3.1999058616683933,0,0,0.0493298231623713,False,False,False,True,False,False,False,False,False,True
98,1,1,1,-0.48888661775358344,0,1,0.6272778976347743,False,False,False,True,False,False,False,True,False,False
99,1,2,0,0.35646165878061953,0,1,-0.18532384824750675,False,True,False,False,True,False,False,True,False,False
100,0,2,1,0.35646165878061953,1,0,-0.12491978668775715,False,True,False,True,False,False,False,True,False,False
101,0,3,0,-0.10463740114712752,0,0,-0.4894421904510968,False,True,True,False,False,False,False,True,False,False
102,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,True,False,True,False,False,False,True,False,False
103,0,1,1,-0.6425863043961658,0,1,0.907737982394129,False,True,False,True,False,False,False,True,False,False
104,0,3,1,0.27961181545932834,0,0,-0.4741720436887921,False,True,False,True,False,False,False,True,False,False
105,0,3,1,0.5870111887444931,2,0,-0.4888542575852486,False,True,False,True,False,False,False,False,True,False
106,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,True,False,True,False,False,False,True,False,False
107,1,3,0,-0.6425863043961658,0,0,-0.494391296561559,False,True,True,False,False,False,False,True,False,False
108,1,3,1,-0.10463740114712752,0,0,-0.4918744606632361,False,True,False,True,False,False,False,True,False,False
109,0,3,1,0.6638610320657843,0,0,-0.4894421904510968,False,True,False,True,False,False,False,False,True,False
110,1,3,0,-0.10463740114712752,1,0,-0.1621689579829361,True,False,True,False,False,False,False,True,False,False
111,0,1,1,1.3555096219574048,0,0,0.39858208016340624,False,True,False,True,False,False,False,False,True,False
112,0,3,0,-1.1421102859845584,1,0,-0.3573908580066095,False,False,True,False,False,False,True,False,False,False
113,0,3,1,-0.5657364610748746,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
114,0,3,0,-0.719436147717457,1,0,-0.4505983519307405,False,True,True,False,False,False,False,True,False,False
115,0,3,0,-0.9499856776813305,0,0,-0.3573083057891445,False,False,True,False,False,False,True,False,False,False
116,0,3,1,-0.6425863043961658,0,0,-0.4888542575852486,False,True,False,True,False,False,False,True,False,False
117,0,3,1,3.1614809400077477,0,0,-0.49237782784290063,True,False,False,True,False,False,False,False,False,True
118,0,2,1,-0.027787557825836348,1,0,-0.22559322262067316,False,True,False,True,False,False,False,True,False,False
119,0,1,1,-0.41203677443229225,0,1,4.335332226633905,False,False,False,True,False,False,False,True,False,False
120,0,3,0,-2.1027333275006983,4,2,-0.01870931177853076,False,True,True,False,False,False,False,False,False,False
121,0,2,1,-0.6425863043961658,2,0,0.8314778546749452,False,True,False,True,False,False,False,True,False,False
122,0,3,1,-0.10463740114712752,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
123,0,2,1,0.24118689379868277,1,0,-0.04295550208861426,False,False,False,True,False,False,False,True,False,False
124,1,2,0,0.24118689379868277,0,0,-0.3866707201133388,False,True,True,False,False,False,False,True,False,False
125,0,1,1,1.893458525206443,0,1,0.907737982394129,False,True,False,True,False,False,False,False,True,False
126,1,3,1,-1.3342348942877864,1,0,-0.42207354059350805,False,False,False,False,False,False,False,False,False,False
127,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,True,False,False,True,False,False,False,True,False,False
128,1,3,1,-0.41203677443229225,0,0,-0.5046257580584992,False,True,False,True,False,False,False,True,False,False
129,1,3,0,-0.10463740114712752,1,1,-0.19824427701513722,False,False,True,False,False,False,False,True,False,False
130,0,3,1,1.2018099353148226,0,0,-0.5079822104125026,False,True,False,True,False,False,False,False,True,False
131,0,3,1,0.27961181545932834,0,0,-0.4894421904510968,False,False,False,True,False,False,False,True,False,False
132,0,3,1,-0.719436147717457,0,0,-0.5064721088735089,False,True,False,True,False,False,False,True,False,False
133,0,3,0,1.3555096219574048,1,0,-0.35646868933346404,False,True,False,False,True,False,False,False,True,False
134,1,2,0,-0.027787557825836348,1,0,-0.12491978668775715,False,True,False,False,True,False,False,True,False,False
135,0,2,1,-0.33518693111100106,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
136,0,2,1,-0.48888661775358344,0,0,-0.3454791770670269,False,False,False,True,False,False,False,True,False,False
137,1,1,0,-0.7962859910387481,0,2,-0.11921562980779811,False,True,True,False,False,False,False,True,False,False
138,0,1,1,0.5870111887444931,1,0,0.4207302360686478,False,True,False,True,False,False,False,False,True,False
139,0,3,1,-1.0268355210026217,0,0,-0.4628462821463391,False,True,False,True,False,False,True,False,False,False
140,0,1,1,-0.41203677443229225,0,0,0.9462455716384695,False,False,False,True,False,False,False,True,False,False
141,0,3,0,-0.10463740114712752,0,2,-0.3414522396297103,False,False,False,False,True,False,False,True,False,False
142,1,3,0,-0.5657364610748746,0,0,-0.49237782784290063,False,True,True,False,False,False,False,True,False,False
143,1,3,0,-0.41203677443229225,1,0,-0.32928686163157667,False,True,False,False,True,False,False,True,False,False
144,0,3,1,-0.7962859910387481,0,0,-0.5125125150294839,True,False,False,True,False,False,False,True,False,False
145,0,2,1,-0.8731358343600393,0,0,-0.41687275089321363,False,True,False,True,False,False,True,False,False,False
146,0,2,1,-0.7962859910387481,1,1,0.09152810056801232,False,True,False,True,False,False,False,True,False,False
147,1,3,1,-0.1814872444684187,0,0,-0.49145565916975514,False,True,False,True,False,False,False,True,False,False
148,0,3,0,-1.56478442425166,2,2,0.04370821849987721,False,True,True,False,False,False,False,False,False,False
149,0,2,1,0.5485862670838475,0,2,-0.12491978668775715,False,True,False,True,False,False,False,False,True,False
150,0,2,1,0.9712604053509489,0,0,-0.3866707201133388,False,True,False,False,False,True,False,False,True,False
151,0,2,1,1.6629089952425695,0,0,-0.39623469652696586,False,True,False,False,False,True,False,False,True,False
152,1,1,0,-0.5657364610748746,1,0,0.6925485130875209,False,True,False,False,True,False,False,True,False,False
153,0,3,1,2.00873329018838,0,0,-0.4863374216869257,False,True,False,True,False,False,False,False,True,False
154,0,3,1,0.8559856403690123,0,2,-0.35646868933346404,False,True,False,True,False,False,False,False,True,False
155,0,3,1,-0.10463740114712752,0,0,-0.5011867534870308,False,True,False,True,False,False,False,True,False,False
156,0,1,1,1.6629089952425695,0,1,0.5874293382238074,False,False,False,True,False,False,False,False,True,False
157,1,3,0,-1.0268355210026217,0,0,-0.49271407711891657,True,False,True,False,False,False,True,False,False,False
158,0,3,1,0.04906228549545483,0,0,-0.4863374216869257,False,True,False,True,False,False,False,True,False,False
159,0,3,1,-0.10463740114712752,0,0,-0.47400492578514347,False,True,False,True,False,False,False,True,False,False
160,0,3,1,-0.10463740114712752,8,2,0.7519458402879414,False,True,False,False,False,False,False,True,False,False
161,0,3,1,1.1249600919935314,0,1,-0.32425318983493084,False,True,False,True,False,False,False,False,True,False
162,1,2,0,0.8175607187083667,0,0,-0.331300330350235,False,True,False,False,True,False,False,False,True,False
163,0,3,1,-0.2583370877897099,0,0,-0.4918744606632361,False,True,False,True,False,False,False,True,False,False
164,0,3,1,-0.9499856776813305,0,0,-0.47400492578514347,False,True,False,True,False,False,True,False,False,False
165,0,3,1,-2.1795831708219895,4,1,0.1506737441786005,False,True,False,False,False,False,False,False,False,False
166,1,3,1,-1.56478442425166,0,2,-0.2351571990343002,False,True,False,False,False,False,False,False,False,False
167,1,1,0,-0.10463740114712752,0,1,0.4589861417231558,False,True,False,False,True,False,False,True,False,False
168,0,3,0,1.2018099353148226,1,4,-0.08666388103324908,False,True,False,False,True,False,False,False,True,False
169,0,1,1,-0.10463740114712752,0,0,-0.12642988822675086,False,True,False,True,False,False,False,True,False,False
170,0,3,1,-0.10463740114712752,0,0,0.48910360681684706,False,True,False,True,False,False,False,True,False,False
171,0,1,1,2.4314074284554814,0,0,0.026090367211616904,False,True,False,True,False,False,False,False,False,True
172,0,3,1,-1.949033640858116,4,1,-0.06199888922968463,True,False,False,False,False,False,False,False,False,False
173,1,3,0,-2.1795831708219895,1,1,-0.4242561406845337,False,True,True,False,False,False,False,False,False,False
174,0,3,1,-0.6425863043961658,0,0,-0.4888542575852486,False,True,False,True,False,False,False,True,False,False
175,0,1,1,2.0471582118490255,0,0,-0.030371322596999754,False,False,False,True,False,False,False,False,True,False
176,0,3,1,-0.8731358343600393,1,1,-0.4902797934380587,False,True,False,True,False,False,True,False,False,False
177,0,3,1,-0.10463740114712752,3,1,-0.13565761536436197,False,True,False,False,False,False,False,True,False,False
178,0,1,0,1.5860591519212783,0,0,-0.07030444769415023,False,False,True,False,False,False,False,False,True,False
179,0,2,1,0.04906228549545483,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
180,0,3,1,0.5101613454232019,0,0,-0.6484216535389205,False,True,False,True,False,False,False,False,True,False
181,0,3,0,-0.10463740114712752,8,2,0.7519458402879414,False,True,True,False,False,False,False,True,False,False
182,0,2,1,-0.10463740114712752,0,0,-0.34539461138084326,False,False,False,True,False,False,False,True,False,False
183,0,3,1,-1.56478442425166,4,2,-0.016444159470040135,False,True,False,False,False,False,False,False,False,False
184,1,2,1,-2.1795831708219895,2,1,0.13683114673782454,False,True,False,False,False,False,False,False,False,False
185,1,3,0,-1.949033640858116,0,2,-0.20495516825442542,False,True,True,False,False,False,False,False,False,False
186,0,1,1,-0.10463740114712752,0,0,0.3583127057902398,False,True,False,True,False,False,False,True,False,False
187,1,3,0,-0.10463740114712752,1,0,-0.3363340021468808,True,False,False,False,True,False,False,True,False,False
188,1,1,1,1.2018099353148226,0,0,-0.11384570873513637,False,True,False,True,False,False,False,False,True,False
189,0,3,1,0.8175607187083667,1,1,-0.3363340021468808,True,False,False,True,False,False,False,False,True,False
190,0,3,1,0.5101613454232019,0,0,-0.4894421904510968,False,True,False,True,False,False,False,False,True,False
191,1,2,0,0.20276197213803718,0,0,-0.3866707201133388,False,True,False,False,True,False,False,True,False,False
192,0,2,1,-0.7962859910387481,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
193,1,3,0,-0.7962859910387481,1,0,-0.4902797934380587,False,True,True,False,False,False,False,True,False,False
194,1,2,1,-2.025883484179407,1,1,-0.12491978668775715,False,True,False,False,False,False,False,False,False,False
195,1,1,0,1.1249600919935314,0,0,-0.09027201697708476,False,False,False,False,True,False,False,False,True,False
196,1,1,0,2.200857898491608,0,0,2.301728820789,False,False,True,False,False,False,False,False,True,False
197,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,True,False,False,True,False,False,False,True,False,False
198,0,3,1,0.9712604053509489,0,1,-0.47920571548543794,False,True,False,True,False,False,False,False,True,False
199,1,3,0,-0.10463740114712752,0,0,-0.49237782784290063,True,False,True,False,False,False,False,True,False,False
200,0,2,0,-0.41203677443229225,0,0,-0.3866707201133388,False,True,True,False,False,False,False,True,False,False
201,0,3,1,-0.10463740114712752,0,0,-0.45714212526638004,False,True,False,True,False,False,False,True,False,False
202,0,3,1,-0.10463740114712752,8,2,0.7519458402879414,False,True,False,True,False,False,False,True,False,False
203,0,3,1,0.35646165878061953,0,0,-0.5176307525123133,False,True,False,True,False,False,False,True,False,False
204,0,3,1,1.2402348569754682,0,0,-0.5029485386158568,False,False,False,True,False,False,False,False,True,False
205,1,3,1,-0.8731358343600393,0,0,-0.4863374216869257,False,True,False,True,False,False,True,False,False,False
206,0,3,0,-2.1027333275006983,0,1,-0.43776248884929375,False,True,True,False,False,False,False,False,False,False
207,0,3,1,0.20276197213803718,1,0,-0.32928686163157667,False,True,False,True,False,False,False,True,False,False
208,1,3,1,-0.2583370877897099,0,0,-0.2701412180209885,False,False,False,True,False,False,False,True,False,False
209,1,3,0,-1.0268355210026217,0,0,-0.49237782784290063,True,False,True,False,False,False,True,False,False,False
210,1,1,1,0.8175607187083667,0,0,-0.024246350754841113,False,False,False,True,False,False,False,False,True,False
211,0,3,1,-0.41203677443229225,0,0,-0.5064721088735089,False,True,False,True,False,False,False,True,False,False
212,1,2,0,0.4333115021019107,0,0,-0.22559322262067316,False,True,True,False,False,False,False,True,False,False
213,0,3,1,-0.5657364610748746,0,0,-0.5024451714361923,False,True,False,True,False,False,False,True,False,False
214,0,2,1,0.04906228549545483,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
215,0,3,1,-0.10463740114712752,1,0,-0.49237782784290063,True,False,False,True,False,False,False,True,False,False
216,1,1,0,0.12591212881674602,1,0,1.6323350375212924,False,False,True,False,False,False,False,True,False,False
217,1,3,0,-0.1814872444684187,0,0,-0.4888542575852486,False,True,True,False,False,False,False,True,False,False
218,0,2,1,0.9712604053509489,1,0,-0.10478509950117394,False,True,False,True,False,False,False,False,True,False
219,1,1,0,0.20276197213803718,0,0,0.8876878608937296,False,False,True,False,False,False,False,True,False,False
220,0,2,1,0.04906228549545483,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
221,1,3,1,-1.0268355210026217,0,0,-0.4863374216869257,False,True,False,True,False,False,True,False,False,False
222,0,2,1,-0.1814872444684187,0,0,-0.3866707201133388,False,True,False,True,False,False,False,True,False,False
223,0,3,1,1.6629089952425695,0,0,-0.4863374216869257,False,True,False,True,False,False,False,False,True,False
224,0,3,1,-0.10463740114712752,0,0,-0.4894421904510968,False,True,False,True,False,False,False,True,False,False
225,1,1,1,0.6638610320657843,1,0,1.163700193253568,False,True,False,True,False,False,False,False,True,False
226,0,3,1,-0.5657364610748746,0,0,-0.4601623283443675,False,True,False,True,False,False,False,True,False,False
227,1,2,1,-0.7962859910387481,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
228,0,3,1,-0.6810112260568114,0,0,-0.5024451714361923,False,True,False,True,False,False,False,True,False,False
229,0,2,1,-0.8731358343600393,0,0,-0.3866707201133388,False,True,False,True,False,False,True,False,False,False
230,0,3,0,-0.10463740114712752,3,1,-0.13565761536436197,False,True,True,False,False,False,False,True,False,False
231,1,1,0,0.4333115021019107,1,0,1.0323213593611125,False,True,False,False,True,False,False,True,False,False
232,0,3,1,-0.027787557825836348,0,0,-0.4918744606632361,False,True,False,True,False,False,False,True,False,False
233,0,2,1,2.277707741812899,0,0,-0.3766033765200472,False,True,False,True,False,False,False,False,True,False
234,1,3,0,-1.8721837975368247,4,2,-0.016444159470040135,False,True,True,False,False,False,False,False,False,False
235,0,2,1,-0.41203677443229225,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
236,0,3,0,-0.10463740114712752,0,0,-0.49640476528021726,False,True,True,False,False,False,False,True,False,False
237,0,2,1,1.1249600919935314,1,0,-0.12491978668775715,False,True,False,True,False,False,False,False,True,False
238,1,2,0,-1.6416342675729512,0,2,-0.11988611489111134,False,True,True,False,False,False,False,False,False,False
239,0,2,1,-0.7962859910387481,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
240,0,2,1,0.27961181545932834,0,0,-0.4012683683236117,False,True,False,True,False,False,False,True,False,False
241,0,3,0,-0.10463740114712752,1,0,-0.3573908580066095,False,False,True,False,False,False,False,True,False,False
242,1,3,0,-0.10463740114712752,1,0,-0.3363340021468808,True,False,True,False,False,False,False,True,False,False
243,0,2,1,-0.027787557825836348,0,0,-0.43700743807979686,False,True,False,True,False,False,False,True,False,False
244,0,3,1,-0.5657364610748746,0,0,-0.5049620073345151,False,True,False,True,False,False,False,True,False,False
245,0,3,1,0.04906228549545483,0,0,-0.5029485386158568,False,False,False,True,False,False,False,True,False,False
246,0,1,1,1.1249600919935314,2,0,1.163700193253568,True,False,False,False,False,True,False,False,True,False
247,0,3,0,-0.33518693111100106,0,0,-0.4918744606632361,False,True,True,False,False,False,False,True,False,False
248,1,2,0,-0.41203677443229225,0,2,-0.35646868933346404,False,True,False,False,True,False,False,True,False,False
249,1,1,1,0.5870111887444931,1,1,0.40974072380221066,False,True,False,True,False,False,False,False,True,False
250,0,2,1,1.893458525206443,1,0,-0.12491978668775715,False,True,False,False,False,True,False,False,True,False
251,0,3,1,-0.10463740114712752,0,0,-0.5024451714361923,False,True,False,True,False,False,False,True,False,False
252,0,3,0,-0.027787557825836348,1,1,-0.43776248884929375,False,True,False,False,True,False,False,True,False,False
253,0,1,1,2.5082572717767726,0,0,-0.11384570873513637,False,True,False,True,False,False,False,False,False,True
254,0,3,1,0.04906228549545483,1,0,-0.32425318983493084,False,True,False,True,False,False,False,True,False,False
255,0,3,0,0.8944105620296577,0,2,-0.2414492887801075,False,True,False,False,True,False,False,False,True,False
256,1,3,0,-0.027787557825836348,0,2,-0.3414522396297103,False,False,False,False,True,False,False,True,False,False
257,1,1,0,-0.10463740114712752,0,0,0.9462455716384695,False,False,False,False,True,False,False,True,False,False
258,1,1,0,0.04906228549545483,0,0,1.093228788100527,False,True,True,False,False,False,False,True,False,False
259,1,1,0,0.4333115021019107,0,0,9.667166525013505,False,False,True,False,False,False,False,True,False,False
260,1,2,0,1.5860591519212783,0,1,-0.12491978668775715,False,True,False,False,True,False,False,False,True,False
261,0,3,1,-0.10463740114712752,0,0,-0.49237782784290063,True,False,False,True,False,False,False,True,False,False
262,1,3,1,-2.025883484179407,4,2,-0.016444159470040135,False,True,False,False,False,False,False,False,False,False
263,0,1,1,1.7397588385638607,1,1,0.955306180872432,False,True,False,True,False,False,False,False,True,False
264,0,1,1,0.8175607187083667,0,0,-0.6484216535389205,False,True,False,True,False,False,False,False,True,False
265,0,3,0,-0.10463740114712752,0,0,-0.49237782784290063,True,False,True,False,False,False,False,True,False,False
266,0,2,1,0.5101613454232019,0,0,-0.43700743807979686,False,True,False,True,False,False,False,False,True,False
267,0,3,1,-1.0268355210026217,4,1,0.1506737441786005,False,True,False,True,False,False,True,False,False,False
268,1,3,1,-0.33518693111100106,1,0,-0.4918744606632361,False,True,False,True,False,False,False,True,False,False
